timestamp,x,y,z
2026-09-12T03:18:20.469348,0.0953369140625,-0.5731048583984375,-0.7984161376953125
2026-09-12T03:18:23.489122,0.124542236328125,-0.5749359130859375,-0.7745361328125
2026-09-12T03:18:26.514154,0.08984375,-0.5789642333984375,-0.817657470703125
2026-09-12T03:18:29.550112,0.0863037109375,-0.5771484375,-0.8117828369140625
2026-09-12T03:18:32.577862,0.060821533203125,-0.569366455078125,-0.8706512451171875
2026-09-12T03:18:35.612172,-0.364959716796875,-0.66571044921875,-0.645294189453125
2026-09-12T03:18:38.630188,-0.0802001953125,-0.94952392578125,-0.4784393310546875
2026-09-12T03:18:41.664617,-0.0802764892578125,-0.89288330078125,-0.44561767578125
2026-09-12T03:18:45.722422,-0.105194091796875,-0.8822021484375,-0.446258544921875
2026-09-12T03:18:48.759849,0.502044677734375,-0.7223968505859375,-0.223602294921875
2026-09-12T03:18:51.789230,0.714813232421875,-0.472564697265625,-0.689453125
2026-09-12T03:18:54.817645,0.03204345703125,-0.831024169921875,-0.389495849609375
2026-09-12T03:18:57.856607,-0.489501953125,-0.5509185791015625,-0.47918701171875
2026-09-12T03:19:00.889878,0.26446533203125,-0.4125823974609375,-0.87109375
2026-09-12T03:19:03.927395,-0.9635162353515625,-0.2429046630859375,0.0754241943359375
2026-09-12T03:19:06.953622,-0.8375701904296875,-0.222381591796875,-0.527435302734375
2026-09-12T03:19:09.993986,-0.1519012451171875,-0.70416259765625,-0.6793670654296875
2026-09-12T03:19:13.018672,-0.9998016357421875,0.1319732666015625,-0.0851898193359375
2026-09-12T03:19:16.049447,-0.9668731689453125,0.2197265625,-0.1035614013671875
2026-09-12T03:19:20.073132,-0.96636962890625,0.257080078125,-0.08251953125
2026-09-12T03:19:23.115617,-0.961761474609375,0.278961181640625,-0.0609893798828125
2026-09-12T03:19:26.135524,-0.955657958984375,0.2808380126953125,-0.0872955322265625
2026-09-12T03:19:29.161617,-0.7964324951171875,0.6183013916015625,-0.1042633056640625
2026-09-12T03:19:32.186098,-0.692535400390625,0.7334136962890625,-0.1045074462890625
2026-09-12T03:19:35.204384,-0.873931884765625,0.5363006591796875,-0.1307373046875
2026-09-12T03:19:38.231879,0.1257781982421875,-1.0452117919921875,-0.1759490966796875
2026-09-12T03:19:41.254087,-0.2349853515625,-0.855682373046875,-0.5257110595703125
2026-09-12T03:19:44.277383,-0.06109619140625,-0.9001007080078125,-0.425445556640625
2026-09-12T03:19:47.310081,0.5902557373046875,-0.3692474365234375,-0.3542022705078125
2026-09-12T03:19:50.348456,0.943450927734375,0.02764892578125,-0.2836761474609375
2026-09-12T03:19:53.387027,0.90887451171875,0.0198974609375,-0.304779052734375
2026-09-12T03:19:57.427802,0.9495086669921875,0.01397705078125,-0.36279296875
2026-09-12T03:20:00.455835,0.9347991943359375,0.0163421630859375,-0.3619232177734375
2026-09-12T03:20:03.486930,0.9394378662109375,-0.033203125,-0.3687896728515625
2026-09-12T03:20:06.526016,0.92376708984375,-0.0040435791015625,-0.3562164306640625
2026-09-12T03:20:09.565703,0.94635009765625,-0.0183563232421875,-0.3353424072265625
2026-09-12T03:20:12.599333,0.914886474609375,-0.0220794677734375,-0.3625030517578125
2026-09-12T03:20:15.625720,0.9294586181640625,-0.031707763671875,-0.337005615234375
2026-09-12T03:20:18.661253,0.948516845703125,-0.022064208984375,-0.3497314453125
2026-09-12T03:20:21.691152,0.9189300537109375,-0.0125579833984375,-0.370635986328125
2026-09-12T03:20:24.710821,0.096221923828125,-0.7844390869140625,-0.4410400390625
2026-09-12T03:20:27.743650,-0.1099395751953125,-0.94390869140625,-0.3051300048828125
2026-09-12T03:20:31.793864,-0.121063232421875,-0.943511962890625,-0.30413818359375
2026-09-12T03:20:34.817961,-0.1129302978515625,-0.9422149658203125,-0.31256103515625
2026-09-12T03:20:37.848563,-0.1124420166015625,-0.9372711181640625,-0.308441162109375
2026-09-12T03:20:40.881889,-0.108642578125,-0.94439697265625,-0.340423583984375
2026-09-12T03:20:43.915694,-0.1204833984375,-0.939605712890625,-0.3651275634765625
2026-09-12T03:20:46.932486,0.04931640625,-0.6757354736328125,-0.440460205078125
2026-09-12T03:20:49.965584,-0.6682891845703125,0.0163421630859375,-0.810394287109375
2026-09-12T03:20:52.999208,-0.8306732177734375,0.07086181640625,-0.590972900390625
2026-09-12T03:20:56.025527,-0.837615966796875,0.0759429931640625,-0.517333984375
2026-09-12T03:20:59.057522,-0.8636932373046875,0.0980072021484375,-0.55194091796875
2026-09-12T03:21:03.097671,-0.8747406005859375,0.0533447265625,-0.453125
2026-09-12T03:21:06.136576,-0.874114990234375,0.0389251708984375,-0.485382080078125
2026-09-12T03:21:09.158726,-0.8752899169921875,0.0193023681640625,-0.4735565185546875
2026-09-12T03:21:12.179378,-0.8924407958984375,0.0363922119140625,-0.4767608642578125
2026-09-12T03:21:15.201566,-0.8778839111328125,0.04327392578125,-0.4776611328125
2026-09-12T03:21:18.232448,-0.87872314453125,0.03729248046875,-0.4722900390625
2026-09-12T03:21:21.258973,-0.5734405517578125,0.008514404296875,-0.7815704345703125
2026-09-12T03:21:24.277571,0.5872039794921875,-0.3153533935546875,-0.4518585205078125
2026-09-12T03:21:27.295786,0.819366455078125,-0.3170013427734375,-0.519805908203125
